Output,Consumption,Investment,Government,Capital,Hours,Wages,Return,TFP
0,-0.576062776949545,-1.41429972483677,-1.63579700347522,2.35086852100021,-0.0140532105028527,-0.423319624326119,1.9258812293279,-0.0455445243184223
0.0147883076492008,-0.574993015743048,-1.38161378956119,-1.60436822923932,2.35332039494732,-0.00879209100386207,-0.414294664888767,1.94836393671852,-0.0350193055701388
0.0189349126915216,-0.575050089253738,-1.39156780908356,-1.57140288810245,2.35735703734656,-0.00789536950776574,-0.411102045851027,1.94856221857025,-0.0329185633447546
0.0184978322816345,-0.571805970575102,-1.40218637795499,-1.56970511814871,2.36143167870013,-0.00974991307008786,-0.409505230485109,1.94038440207015,-0.0336400462380276
0.0030403680891691,-0.566308048758444,-1.45839777165031,-1.59544065184656,2.36665916655257,-0.0183371796775577,-0.415374348810747,1.90255781495048,-0.0455306788741322
-0.00194260814691423,-0.555336246791076,-1.44631257928608,-1.66736807865661,2.36968946641615,-0.0237601903515259,-0.414221587047805,1.88787553638169,-0.0481130903395486
0.00671060815308617,-0.554016205257601,-1.46213314238331,-1.60766719767426,2.37136933471633,-0.0195354493077671,-0.410281153377627,1.90086402505394,-0.0428698702560182
-0.00326864843134768,-0.539116382034278,-1.43437542489258,-1.74177487797605,2.37491947601246,-0.0287202325819251,-0.409797254036066,1.87606152396766,-0.0481656145806095
0.0337474932970875,-0.540512147346926,-1.36012776723988,-1.63349734258526,2.37361729867876,-0.0120094959683812,-0.3917380064957,1.94594768749131,-0.021439143197615
0.0622120088421918,-0.535440435008146,-1.26905023401015,-1.62111549285277,2.37580624207257,-0.0022653108614423,-0.373887047758845,1.99252547497432,-1.3438854474572e-05
0.0985236824436977,-0.526501087072675,-1.1296187670515,-1.66222678035553,2.3805936152914,0.00797245727874349,-0.348214893388736,2.04737484149751,0.0279352278687286
0.115896495992433,-0.548459573785478,-1.17920199158937,-1.43751880642641,2.39028000744808,0.0183696143345461,-0.341430489974067,2.06113315432701,0.0352255542722478
0.127766253724959,-0.55877867922008,-1.14348948192829,-1.40374459391413,2.39846463748227,0.0204356354161444,-0.331542038402083,2.06788334643852,0.0429143620517689
0.143226287013176,-0.583811772086944,-1.18363651771966,-1.23766976327814,2.40748824967791,0.0295299060439471,-0.325145137772429,2.07948213445667,0.0493873615774382
0.161798195317899,-0.591430956658279,-1.14828914398807,-1.18774064645554,2.41530767335462,0.0356430022944838,-0.312358842607683,2.09832075612778,0.061247634036829
0.162102215293503,-0.590038567504667,-1.14517020773472,-1.19235793875661,2.42367602868197,0.0319699236070537,-0.308454793851693,2.08501581671464,0.06106870991229
0.17073583677298,-0.584641478266918,-1.1328529494792,-1.18169364237445,2.43202557624008,0.0325498282818046,-0.300276370888881,2.08600132283695,0.0664286742001868
0.170772900267355,-0.572355608026225,-1.11157993483713,-1.22762435287418,2.44035452830478,0.0270753792796802,-0.294817122773721,2.0720788966596,0.0671314590188477
0.175713179946308,-0.573344257403533,-1.14989537909143,-1.16542905220954,2.44912161200576,0.0285900753965876,-0.291400462369764,2.06586876629176,0.0680932912836733
0.205718245931257,-0.559166123066942,-1.0658500001592,-1.16383422583038,2.45723613753124,0.0375133274333003,-0.269550878106184,2.10447108185459,0.0893302956192732
0.22169560517166,-0.546939562812713,-1.03683200165337,-1.15550986210646,2.46732129680171,0.0406339427438917,-0.256248020702666,2.11545928861939,0.0997036801084698
0.226804295097933,-0.536588996063047,-1.04282679500529,-1.14763039288238,2.47749875264161,0.0393278428558692,-0.249823490003365,2.10749572136338,0.102152055713311
0.218529671666683,-0.525113685207168,-1.07198163035711,-1.16980218208851,2.48662002755103,0.0315092813260236,-0.250781607390461,2.07750858546326,0.0958713611972211
0.200577142276313,-0.513460340623789,-1.12173897436915,-1.21074992141682,2.49459454755282,0.0194337434629738,-0.257236348522671,2.03120696865884,0.0830543822268082
0.192991596008641,-0.501966906187026,-1.15016734473585,-1.23460394788166,2.5014652317822,0.0128006251971343,-0.258342667459853,2.0048169756897,0.0773723620649856
0.19127004005999,-0.488777528485045,-1.14899568808124,-1.27133961603197,2.50752752107704,0.00823178419460579,-0.255517504094602,1.99043016576465,0.0764708045162607
0.199586838851011,-0.47894820625282,-1.13425397963235,-1.2736742793893,2.5134707062725,0.00911198554782344,-0.248055019648226,1.9949246862492,0.0821145498283195
0.216015563827791,-0.471248442491972,-1.10485216521703,-1.25302521016472,2.519732964954,0.0140262030878488,-0.236421322341706,2.01391278613299,0.0931288013097853
0.241156077298454,-0.463336231535466,-1.05849326815031,-1.21550438407598,2.52699301184469,0.0228924262741024,-0.219727074398038,2.04699437139645,0.109891404697108
0.254310475427339,-0.452505080380512,-1.02551330661564,-1.22102760878946,2.53514308813031,0.024795450962389,-0.208251239251466,2.05647213080084,0.118879707276045
0.264684192544821,-0.444013692910196,-1.01210975069229,-1.21028806414782,2.54391809500089,0.0260853512425626,-0.199000616294919,2.0598216613223,0.125296339274503
0.267578202709649,-0.437182157855795,-1.01719322377428,-1.20619668776317,2.55249065844225,0.0240677113246744,-0.194171520798356,2.04981309325108,0.126497934190959
0.260537959884019,-0.432892146815704,-1.04833765132657,-1.20906047663826,2.56029202609622,0.0179383142225356,-0.19543405727646,2.02252106377878,0.120748914678171
0.265670777668564,-0.42784002336029,-1.04784221015621,-1.19833463787921,2.56751338809235,0.0175232196889193,-0.189882560526604,2.01878911507536,0.123597943143487
0.261582368764421,-0.423496723253621,-1.06459846141868,-1.20609402703535,2.57426356090853,0.0127081149935892,-0.189360618702518,1.99839623167076,0.120265485338284
